ID,Name,State,x,y,Width,Height,TextSize,NextState,Text
0,Start,Start,402,313,443,110,50,Splash,Start
1,Continue,Splash,419,550,443,110,50,ChooseCharacter,Continue
2,Next,ChooseCharacter,1107,613,151,72,32,Screen1,Next
3,A1,Screen1,80,204,1100,85,32,Screen2,Swipe on tinder by yourself all night until you find someone interesting
4,B1,Screen1,80,304,1100,85,32,Screen6,Go to your crush's party with friend1 
5,C1,Screen1,80,404,1100,85,32,Screen10,Go hang with friend2 at his house 
6,A2,Screen2,80,204,1100,85,32,Screen3,Go to his place
7,B2,Screen2,80,304,1100,85,32,Screen6,Call friend1 and go to the party with them
8,A3,Screen3,80,304,1100,85,32,Ending2,Call friend1 to come save your ass
9,B3,Screen3,80,404,1100,85,32,Screen4,Stay with him with him..maybe he's friendly
10,A4,Screen4,80,404,1100,85,32,Ending2,Call friend1 NOW
11,B4,Screen4,80,504,1100,85,32,Screen5,Stay with him?? He's friendly?
12,A5,Screen5,80,304,1100,85,32,Ending2,RUN AWAY CALL FRIEND1
13,B5,Screen5,80,404,1100,85,32,Ending1,Go to the bathroom and contemplate the next move
14,A6,Screen6,80,204,1100,85,32,Screen7,Make a move
15,B6,Screen6,80,304,1100,85,32,Ending5,Hangout with friend1
16,A7,Screen7,80,304,1100,85,32,Ending5,Retreat to friend1
17,B7,Screen7,80,404,1100,85,32,Screen8,Keep going these watches are dumb he is the one
18,A8,Screen8,80,304,1100,85,32,Ending5,Take it back and say you need to go play beer pong with friend1
19,B8,Screen8,80,404,1100,85,32,Screen9,Keep going along with it
20,A9,Screen9,80,204,1100,85,32,Ending4,Go cry in the bathroom
21,B9,Screen9,80,304,1100,85,32,Ending3,Ask him about the watch
22,A10,Screen10,80,204,1100,85,32,Screen11,Get high
23,B10,Screen10,80,304,1100,85,32,Screen12,Do Shrooms
24,A11,Screen11,80,204,1100,85,32,Ending6,Chubby Noodle
25,B11,Screen11,80,304,1100,85,32,Ending7,Golden Boy Pizza
26,A12,Screen12,80,204,1100,85,32,Ending8,Destroy the photos since the lips are moving and it's creepy
27,B12,Screen12,80,304,1100,85,32,Ending9,Focus on something else
